Time,DOAS AIR LOOP HVAC1:DesPer 1:Des Heat Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 1:Des Heat Cap [W],DOAS AIR LOOP HVAC1:DesPer 1:Des Cool Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 1:Des Sens Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 1:Des Tot Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 2:Des Heat Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 2:Des Heat Cap [W],DOAS AIR LOOP HVAC1:DesPer 2:Des Cool Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 2:Des Sens Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 2:Des Tot Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 3:Des Heat Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 3:Des Heat Cap [W],DOAS AIR LOOP HVAC1:DesPer 3:Des Cool Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 3:Des Sens Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 3:Des Tot Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 4:Des Heat Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 4:Des Heat Cap [W],DOAS AIR LOOP HVAC1:DesPer 4:Des Cool Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 4:Des Sens Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 4:Des Tot Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 5:Des Heat Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 5:Des Heat Cap [W],DOAS AIR LOOP HVAC1:DesPer 5:Des Cool Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 5:Des Sens Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 5:Des Tot Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 6:Des Heat Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 6:Des Heat Cap [W],DOAS AIR LOOP HVAC1:DesPer 6:Des Cool Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 6:Des Sens Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 6:Des Tot Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 7:Des Heat Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 7:Des Heat Cap [W],DOAS AIR LOOP HVAC1:DesPer 7:Des Cool Mass Flow [kg/s],DOAS AIR LOOP HVAC1:DesPer 7:Des Sens Cool Cap [W],DOAS AIR LOOP HVAC1:DesPer 7:Des Tot Cool Cap [W]
00:10:00,2.315105E-05,3.320171E-01,1.147310E-04,1.490449E+00,2.988547E+00,2.315105E-05,4.576402E-01,6.938607E-05,5.248761E-01,1.680810E+00,2.315105E-05,3.808705E-01,1.173327E-04,1.276651E+00,4.271799E+00,2.315105E-05,3.901759E-01,1.073157E-04,1.124526E+00,3.529399E+00,4.611960E-05,2.484021E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,4.344297E-05,2.270010E+00,2.315105E-05,0.000000E+00,0.000000E+00
00:20:00,2.315105E-05,3.339712E-01,1.144377E-04,1.476979E+00,2.971005E+00,2.315105E-05,4.595943E-01,6.934507E-05,5.187127E-01,1.659785E+00,2.315105E-05,3.828246E-01,1.149951E-04,1.241510E+00,4.148571E+00,2.315105E-05,3.921301E-01,9.977806E-05,1.037119E+00,3.272809E+00,4.250039E-05,2.289089E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,3.906189E-05,2.041087E+00,2.315105E-05,0.000000E+00,0.000000E+00
00:30:00,2.315105E-05,3.359254E-01,1.141475E-04,1.463599E+00,2.953596E+00,2.315105E-05,4.615484E-01,6.930415E-05,5.125568E-01,1.638854E+00,2.315105E-05,3.847788E-01,1.074387E-04,1.150861E+00,3.840474E+00,2.315105E-05,3.940842E-01,9.143166E-05,9.426466E-01,2.991076E+00,3.665119E-05,1.974049E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,3.883368E-05,2.029163E+00,2.315105E-05,0.000000E+00,0.000000E+00
00:40:00,2.315105E-05,3.378795E-01,1.138605E-04,1.450308E+00,2.936319E+00,2.315105E-05,4.635026E-01,6.925745E-05,5.063656E-01,1.617880E+00,2.315105E-05,3.867329E-01,9.985813E-05,1.061231E+00,3.536630E+00,2.315105E-05,3.960383E-01,9.338927E-05,9.549464E-01,3.046983E+00,3.500868E-05,1.885582E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,3.967736E-05,2.073247E+00,2.315105E-05,0.000000E+00,0.000000E+00
00:50:00,2.315105E-05,3.398336E-01,1.135766E-04,1.437105E+00,2.919171E+00,2.315105E-05,4.654567E-01,6.921066E-05,5.001815E-01,1.596998E+00,2.315105E-05,3.886871E-01,9.145536E-05,9.642117E-01,3.209036E+00,2.315105E-05,3.979925E-01,9.374760E-05,9.506975E-01,3.050509E+00,3.444625E-05,1.855289E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,4.003917E-05,2.092152E+00,2.315105E-05,0.000000E+00,0.000000E+00
01:00:00,2.315105E-05,3.417878E-01,1.132956E-04,1.423986E+00,2.902145E+00,2.315105E-05,4.674108E-01,6.915936E-05,4.939732E-01,1.576109E+00,2.315105E-05,3.906412E-01,9.342353E-05,9.770763E-01,3.247561E+00,2.315105E-05,3.999466E-01,9.410079E-05,9.463364E-01,3.053806E+00,3.515516E-05,1.893472E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,4.039204E-05,2.110591E+00,2.315105E-05,0.000000E+00,0.000000E+00
01:10:00,2.315105E-05,3.430905E-01,1.131488E-04,1.415774E+00,2.891858E+00,2.315105E-05,4.687136E-01,6.917223E-05,4.901726E-01,1.563299E+00,2.315105E-05,3.919439E-01,9.391221E-05,9.769027E-01,3.244147E+00,2.315105E-05,4.012494E-01,1.012798E-04,1.012834E+00,3.280903E+00,3.699587E-05,1.992613E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,4.076564E-05,2.130112E+00,2.315105E-05,0.000000E+00,0.000000E+00
01:20:00,2.315105E-05,3.443933E-01,1.061415E-04,1.322123E+00,2.706645E+00,2.315105E-05,4.700164E-01,6.918096E-05,4.863415E-01,1.550422E+00,2.315105E-05,3.932467E-01,9.440051E-05,9.766700E-01,3.240555E+00,2.315105E-05,4.025521E-01,1.083871E-04,1.077810E+00,3.504846E+00,3.458677E-05,1.862858E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,4.109482E-05,2.147313E+00,2.315105E-05,0.000000E+00,0.000000E+00
01:30:00,2.315105E-05,3.456961E-01,9.910169E-05,1.228857E+00,2.521410E+00,2.315105E-05,4.713191E-01,6.919563E-05,4.825509E-01,1.537704E+00,2.315105E-05,3.945495E-01,1.016335E-04,1.045783E+00,3.466872E+00,2.315105E-05,4.038549E-01,1.164306E-04,1.151243E+00,3.758182E+00,3.526812E-05,1.899556E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,4.140008E-05,2.163264E+00,2.315105E-05,0.000000E+00,0.000000E+00
01:40:00,2.315105E-05,3.469988E-01,9.197386E-05,1.135296E+00,2.334754E+00,2.315105E-05,4.726219E-01,6.920469E-05,4.787197E-01,1.524886E+00,2.315105E-05,3.958522E-01,1.088009E-04,1.113412E+00,3.687893E+00,2.315105E-05,4.051576E-01,1.072975E-04,1.054899E+00,3.457150E+00,3.710055E-05,1.998251E+00,2.315105E-05,0.000000E+00,0.000000E+00,2.315105E-05,8.816878E-01,2.315105E-05,0.000000E+00,0.000000E+00,4.168489E-05,2.178146E+00,2.315105E-05,0.000000E+00,0.000000E+00
