Time,OFFICE:BOSTON LOGAN INTL ARPT ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Load [W],OFFICE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DP=>MDB:Des Sens Cool Load [W],OFFICE:BOSTON LOGAN INTL ARPT ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Mass Flow [kg/s],OFFICE:BOSTON LOGAN INTL ARPT ANN CLG .4% CONDNS DP=>MDB:Des Cool Mass Flow [kg/s]
00:10:00,7.638123E-02,8.062743E-01,3.478950E-06,6.033571E-05
00:20:00,0.000000E+00,8.058697E-01,0.000000E+00,6.030006E-05
00:30:00,0.000000E+00,8.058382E-01,0.000000E+00,6.026448E-05
00:40:00,0.000000E+00,8.054543E-01,0.000000E+00,6.022387E-05
00:50:00,0.000000E+00,8.052248E-01,0.000000E+00,6.018318E-05
01:00:00,0.000000E+00,8.048778E-01,0.000000E+00,6.013858E-05
01:10:00,0.000000E+00,8.054929E-01,0.000000E+00,6.014977E-05
01:20:00,0.000000E+00,8.061434E-01,0.000000E+00,6.015736E-05
01:30:00,0.000000E+00,8.066112E-01,0.000000E+00,6.017011E-05
01:40:00,0.000000E+00,8.075291E-01,0.000000E+00,6.017799E-05
01:50:00,0.000000E+00,8.078015E-01,0.000000E+00,6.019469E-05
02:00:00,0.000000E+00,8.092848E-01,0.000000E+00,6.020379E-05
02:10:00,0.000000E+00,8.092388E-01,0.000000E+00,6.022847E-05
02:20:00,0.000000E+00,8.126836E-01,0.000000E+00,6.024397E-05
02:30:00,0.000000E+00,8.120090E-01,0.000000E+00,6.029048E-05
02:40:00,0.000000E+00,8.148286E-01,0.000000E+00,6.031453E-05
02:50:00,0.000000E+00,8.144777E-01,0.000000E+00,6.035689E-05
03:00:00,0.000000E+00,8.167017E-01,0.000000E+00,6.037848E-05
03:10:00,0.000000E+00,8.166591E-01,0.000000E+00,6.041464E-05
03:20:00,0.000000E+00,8.164187E-01,0.000000E+00,6.042735E-05
03:30:00,0.000000E+00,8.171397E-01,0.000000E+00,6.043680E-05
03:40:00,0.000000E+00,8.172023E-01,0.000000E+00,6.043732E-05
03:50:00,0.000000E+00,8.177175E-01,0.000000E+00,6.044750E-05
04:00:00,0.000000E+00,8.174889E-01,0.000000E+00,6.044826E-05
04:10:00,0.000000E+00,8.180524E-01,0.000000E+00,6.045316E-05
04:20:00,0.000000E+00,8.181266E-01,0.000000E+00,6.045293E-05
04:30:00,0.000000E+00,8.185672E-01,0.000000E+00,6.046064E-05
04:40:00,0.000000E+00,8.184798E-01,0.000000E+00,6.046250E-05
04:50:00,0.000000E+00,8.189683E-01,0.000000E+00,6.046735E-05
05:00:00,1.265078E-01,8.190838E-01,5.693603E-06,6.046856E-05
05:10:00,3.349743E-01,8.195352E-01,1.621927E-05,6.047863E-05
05:20:00,5.580582E-01,8.196652E-01,2.773144E-05,6.048688E-05
05:30:00,7.629456E-01,8.202312E-01,3.830496E-05,6.050093E-05
05:40:00,9.564930E-01,8.205939E-01,4.829337E-05,6.051421E-05
05:50:00,1.141521E+00,8.211930E-01,5.784214E-05,6.053597E-05
06:00:00,1.192839E+00,8.216163E-01,6.132565E-05,6.055618E-05
06:10:00,1.098137E+00,8.745560E-01,5.616037E-05,6.793665E-05
06:20:00,9.623205E-01,9.261850E-01,4.869761E-05,7.657854E-05
06:30:00,8.324112E-01,9.847241E-01,4.152923E-05,8.538865E-05
06:40:00,7.149159E-01,1.036794E+00,3.501507E-05,9.408609E-05
06:50:00,5.298881E-01,1.092680E+00,2.546630E-05,1.026471E-04
07:00:00,3.520621E-01,1.143132E+00,1.628919E-05,1.111921E-04
07:10:00,2.382975E-01,1.145313E+00,1.092880E-05,1.122710E-04
07:20:00,1.510301E-01,1.143413E+00,6.879392E-06,1.120862E-04
07:30:00,7.605201E-02,1.138833E+00,3.474253E-06,1.116372E-04
07:40:00,0.000000E+00,1.135478E+00,0.000000E+00,1.113085E-04
07:50:00,0.000000E+00,1.132587E+00,0.000000E+00,1.110256E-04
08:00:00,0.000000E+00,1.130020E+00,0.000000E+00,1.107745E-04
08:10:00,0.000000E+00,1.127699E+00,0.000000E+00,1.105475E-04
08:20:00,0.000000E+00,1.125590E+00,0.000000E+00,1.103414E-04
08:30:00,0.000000E+00,1.123670E+00,0.000000E+00,1.101538E-04
08:40:00,0.000000E+00,1.121916E+00,0.000000E+00,1.099825E-04
