Date/Time,ZONE_0_SRF_0:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_0_GLZ_0_0B10DB01F72D42B1AAB0:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_1:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_2:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_3:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_4:Surface Inside Face Temperature [C](Hourly),ZONE_0_SRF_5:Surface Inside Face Temperature [C](Hourly) 
 12/15  01:00:00,17.9235610915436,3.7348498441031858,18.38174945591464,18.283224889141267,18.38174945591464,17.7531203214881,18.247979585612627 
 12/15  02:00:00,17.862168136688884,2.8603611330877927,18.2790378537629,18.17651391539621,18.2790378537629,17.644739459643387,18.132626432750216 
 12/15  03:00:00,17.804838849718565,2.6400054660111986,18.195672208369176,18.091214711502489,18.195672208369179,17.554966091687168,18.065451939487106 
 12/15  04:00:00,17.7635433099415,2.456295118519847,18.14308113713417,18.03786650155794,18.143081137134165,17.481861951837588,18.01544588256108 
 12/15  05:00:00,17.722057715088778,2.2287840937172804,18.0890484235422,17.982636440188313,18.089048423542207,17.407309877759944,17.960572070798599 
 12/15  06:00:00,17.691805302962075,2.3430287046237106,18.059798276955339,17.953318174539424,18.059798276955339,17.353541762447944,17.93954475815184 
 12/15  07:00:00,17.676487346213038,2.6021927966007185,18.057924731892617,17.95221518268181,18.05792473189261,17.320877946938187,17.942323855604348 
 12/15  08:00:00,17.730823457226639,2.7177603853849918,18.150909945087159,18.04803888153486,18.150909945087159,17.376867534686985,18.054739938088856 
 12/15  09:00:00,17.988254174748847,2.5588694529200119,18.50511308831647,18.408873095279284,18.50511308831647,17.64741586273922,18.390507123004519 
 12/15  10:00:00,18.339712185772887,3.272949565317598,18.98590035456016,18.89650409669915,18.98590035456017,18.020141620047565,18.809769695982309 
 12/15  11:00:00,18.67659758427577,4.183885332517558,19.45255644460042,19.368440120335209,19.45255644460042,18.39841416681697,19.185563402052357 
 12/15  12:00:00,18.929738556355294,4.854490047909366,19.79427804458888,19.712216587475436,19.79427804458889,18.716075860430075,19.454888126253889 
 12/15  13:00:00,19.067884797662388,5.298671809383592,19.972980848711065,19.89067777300181,19.972980848711076,18.934512385627703,19.58809627663116 
 12/15  14:00:00,19.113207990760136,5.555803265260958,20.019608663914768,19.93631561865942,20.019608663914768,19.070289900073275,19.63323340644141 
 12/15  15:00:00,19.07234557691532,5.745011027284126,19.947581448703404,19.862632247413573,19.947581448703404,19.10766966785089,19.57098242593605 
 12/15  16:00:00,18.841830698599357,5.590009751325596,19.617013607653737,19.52629554152301,19.617013607653737,18.925547727052707,19.256652687533039 
 12/15  17:00:00,18.49755717884022,4.725166053539738,19.127458346209964,19.029950565759767,19.127458346209964,18.610524844315369,18.84189999452636 
 12/15  18:00:00,18.25968307636354,3.987564226431753,18.784303002955594,18.684987170869545,18.784303002955594,18.384223236164,18.61685230068729 
 12/15  19:00:00,18.133733589283258,3.7469707383472348,18.604911334514389,18.506155228681825,18.604911334514389,18.22604075482818,18.4930354020573 
 12/15  20:00:00,18.064735898920117,4.053836387717695,18.52345506451932,18.426310324802345,18.52345506451932,18.113869130216714,18.438367181626217 
 12/15  21:00:00,18.02802401336952,4.188140286245243,18.49101868835068,18.395022781297415,18.49101868835068,18.027350015599088,18.401047727965588 
 12/15  22:00:00,17.997049557140668,4.204305942121512,18.460110248874149,18.363895361688134,18.460110248874149,17.94661664163989,18.362419426669786 
 12/15  23:00:00,17.974978519940838,4.342001492432284,18.444564485356293,18.348448666293117,18.444564485356293,17.884573992347158,18.343394852074046 
 12/15  24:00:00,17.956893220621489,4.388478734705235,18.432172199216333,18.33593731154643,18.432172199216333,17.831129231438096,18.32453999574275 
 12/16  01:00:00,17.934441315587063,4.1974039529004119,18.406699452806636,18.30954243837266,18.406699452806636,17.773928687210746,18.287972329916724 
 12/16  02:00:00,17.90834471921962,4.086794010147552,18.37419314062839,18.27605303937057,18.37419314062839,17.718912884920358,18.254600366466538 
 12/16  03:00:00,17.8684641956639,3.2623665375962029,18.30838058291339,18.2074971111923,18.30838058291339,17.638363437128296,18.163840027256759 
 12/16  04:00:00,17.801098934716,2.39497770750854,18.194041330989938,18.08899647644879,18.194041330989938,17.52839058160681,18.044555633589103 
 12/16  05:00:00,17.735939470247599,1.7856382892500354,18.091861991545796,17.98402113660601,18.091861991545796,17.425472408729705,17.94667042985331 
 12/16  06:00:00,17.679729287716464,1.6578198746664726,18.014943899305036,17.90579967217911,18.014943899305036,17.338784015455415,17.88558297568835 
 12/16  07:00:00,17.637476244677626,1.3688710635770083,17.96208432063599,17.852071180335448,17.96208432063599,17.26273712671163,17.828267546892687 
 12/16  08:00:00,17.65649840900871,1.0607966461469876,17.992046623337506,17.882868225407444,17.992046623337506,17.265697505345189,17.87839664682015 
 12/16  09:00:00,17.820605994706928,1.5889436726430784,18.234286959928555,18.13072976931198,18.234286959928555,17.43330677434704,18.11920223065614 
 12/16  10:00:00,18.075736504745806,2.8925887264971288,18.618249422286956,18.522814474138383,18.618249422286956,17.71726953210849,18.483047824237234 
 12/16  11:00:00,18.469054252783644,4.2684192494983039,19.189461319499207,19.104687176793367,19.189461319499207,18.168853312654507,19.009895923982638 
 12/16  12:00:00,18.81942552407619,4.796683679265375,19.671338820528758,19.590980807004397,19.671338820528758,18.567897355005145,19.378221716817995 
 12/16  13:00:00,19.16780984290028,5.014011185034273,20.125066160753975,20.04752989246514,20.125066160753975,18.991763248930643,19.749774530137775 
 12/16  14:00:00,19.16738926290676,5.307230651833464,20.09898543906402,20.01421820385254,20.098985439064025,19.04795057555938,19.6222769012877 
 12/16  15:00:00,19.034877887807086,5.496291400926282,19.90867065807667,19.820373504513339,19.90867065807667,19.027272249815068,19.495048928397286 
 12/16  16:00:00,18.74012830556725,5.395387519281475,19.493524286954295,19.399341963589149,19.493524286954295,18.798567368675714,19.13222551412026 
 12/16  17:00:00,18.429940736576627,5.266818538682959,19.071259164899318,18.97472625659113,19.071259164899318,18.545542761730638,18.833962719875488 
 12/16  18:00:00,18.245093482728035,4.659030008149159,18.809492530796644,18.713183088289254,18.80949253079664,18.369681344055406,18.659385966818037 
 12/16  19:00:00,18.135418595999693,4.209164716492372,18.64515678233722,18.548455780715036,18.64515678233722,18.223132650424604,18.531184674820904 
 12/16  20:00:00,18.078783059760928,4.65258807024848,18.579550575674046,18.48456981739069,18.57955057567405,18.131435810397666,18.497327895309107 
 12/16  21:00:00,18.06640507312503,5.311652668966038,18.590589632787674,18.498522223699117,18.59058963278768,18.087239867154844,18.51784824179481 
 12/16  22:00:00,18.068586002698785,5.589401988607601,18.61351055142404,18.522851380621863,18.613510551424036,18.053265318828627,18.527760995544214 
 12/16  23:00:00,18.059759951326208,5.390536115899796,18.60603220388738,18.51463135986386,18.60603220388738,18.00551765335014,18.497824514810799 
 12/16  24:00:00,18.028341074386885,4.773673895626909,18.5520678599953,18.45803174937527,18.5520678599953,17.93277482592296,18.423063654288389 
 12/17  01:00:00,17.98044435966116,4.210646713117929,18.47149824759099,18.374543803314084,18.471498247590995,17.84760518459523,18.338884585958387 
 12/17  02:00:00,17.938624544669709,4.042296202597432,18.409707883246637,18.311424544208366,18.40970788324664,17.77756903078905,18.287600427672058 
 12/17  03:00:00,17.90946353335269,4.019087621590529,18.37283544009712,18.274221092518123,18.37283544009712,17.722946372511573,18.256706889366645 
 12/17  04:00:00,17.87946899344377,3.6543524094717365,18.328871354415438,18.229012394999047,18.328871354415438,17.660559498973137,18.20208749801029 
 12/17  05:00:00,17.835713966304849,3.084552724682633,18.25791442825082,18.155606076506655,18.25791442825082,17.580685658924634,18.121741562144775 
 12/17  06:00:00,17.801457696659225,3.261169246340785,18.215513936060526,18.11283791481614,18.215513936060526,17.52682981517644,18.09964690795799 
 12/17  07:00:00,17.801864175057856,3.9140338091873354,18.240080906372844,18.13972353302181,18.240080906372844,17.51962465602406,18.141207545799437 
 12/17  08:00:00,17.840701379028375,4.058183728284679,18.310271734716836,18.212225463780205,18.31027173471683,17.552872017208288,18.211758792036077 
 12/17  09:00:00,18.018328717581367,3.807069240353343,18.552104546181199,18.458611745772655,18.552104546181196,17.73996028455314,18.450550576566355 
 12/17  10:00:00,18.40252590711782,3.9347701507040635,19.061584809971565,18.97595625309275,19.061584809971565,18.14264440815815,18.91304552837948 
 12/17  11:00:00,18.66031953986577,4.387005511512882,19.395828084752695,19.310883044477298,19.395828084752695,18.401158942156774,19.11847086296518 
 12/17  12:00:00,18.843099832005323,4.738061890025231,19.63357031967988,19.549462674871284,19.63357031967988,18.642667211952973,19.32328378383813 
 12/17  13:00:00,19.01613337860666,4.385389931031871,19.834859665505069,19.750680295146304,19.834859665505069,18.871800493110233,19.478175682155365 
 12/17  14:00:00,19.014368895338519,3.798981320061074,19.783403127107325,19.693462337614297,19.783403127107325,18.904523890157937,19.372187312857247 
 12/17  15:00:00,18.878641489534343,3.689180829681277,19.569306213482819,19.474570968943437,19.569306213482819,18.823362649435287,19.191866695477758 
 12/17  16:00:00,18.63984151138118,3.0079688175407477,19.21791926923585,19.11757678674769,19.21791926923585,18.61133771730449,18.873760057322806 
 12/17  17:00:00,18.304605189154019,2.651984378269949,18.746946552726216,18.64071767548988,18.746946552726216,18.283093170779297,18.48802484781766 
 12/17  18:00:00,18.11317871298797,3.1043046323143246,18.50614949604804,18.402501752803585,18.506149496048044,18.106143800969457,18.377691578000524 
 12/17  19:00:00,18.029458813505554,3.0876269683210659,18.404371072875184,18.302922062738863,18.40437107287519,17.981703387344948,18.302227724856999 
 12/17  20:00:00,17.949274983799716,2.132842669925433,18.283757085915548,18.179878807769528,18.28375708591555,17.826163309702875,18.153957413587795 
 12/17  21:00:00,17.867750032555393,1.872719276197491,18.168095357175777,18.061921089201197,18.168095357175777,17.68274462321276,18.0509382246378 
 12/17  22:00:00,17.81171686333182,1.5201289137729078,18.095709361359036,17.98836849524165,18.095709361359036,17.565873250535476,17.971311977442438 
 12/17  23:00:00,17.75592201240762,1.5608518419232478,18.027883092365575,17.919424796278056,18.027883092365575,17.45881624756598,17.913219572036124 
 12/17  24:00:00,17.733665247147319,2.0227929919597615,18.02495511779728,17.917925220218974,18.02495511779728,17.401570129968449,17.91871232284708 
 12/18  01:00:00,17.711733911116075,1.918746621964279,18.011189338500249,17.90388934235024,18.011189338500249,17.338563578834106,17.88812435621352 
 12/18  02:00:00,17.689623760906579,2.1472517097261156,17.999247298489416,17.8919340330209,17.999247298489416,17.289321022174858,17.88111524710465 
 12/18  03:00:00,17.674038194310755,2.0144190069040066,17.99253782090547,17.884993267064659,17.99253782090547,17.246314721051254,17.860866987057709 
 12/18  04:00:00,17.629772128793197,1.1701689044521023,17.923906874694635,17.81312828941182,17.923906874694635,17.16294463492166,17.76833758752097 
 12/18  05:00:00,17.572258842716154,0.665467011809009,17.839033199563486,17.725426779807603,17.839033199563486,17.075610918836025,17.687873862356935 
 12/18  06:00:00,17.525075921819064,0.4667332835418752,17.779732759093215,17.664933972582476,17.779732759093215,17.005438862669555,17.63721374880267 
 12/18  07:00:00,17.483138606706424,0.24903519266709396,17.730228586810165,17.614421955856878,17.730228586810168,16.939457618911815,17.588650106126559 
 12/18  08:00:00,17.527024151520388,0.7160354256007319,17.815575059643295,17.703222900666409,17.815575059643295,16.993681270470295,17.71824078452165 
 12/18  09:00:00,17.76811575169241,1.325277291064026,18.17382074270056,18.069868122888665,18.17382074270056,17.257134725284826,18.06190722936059 
 12/18  10:00:00,18.034400502877295,1.9496668973959004,18.554165951222094,18.4555150494182,18.554165951222094,17.540593528078629,18.368233415903558 
 12/18  11:00:00,18.279380217606485,2.649405167600918,18.902563667108109,18.80775050920735,18.90256366710811,17.829149593793927,18.65337022724437 
 12/18  12:00:00,18.480478050332385,3.4222094689521898,19.18815750186313,19.096191268959858,19.18815750186314,18.09750638357594,18.895647373566005 
 12/18  13:00:00,18.622710101422798,4.031313835871326,19.389261675443909,19.29907464587253,19.389261675443909,18.318872679341465,19.064667623175735 
 12/18  14:00:00,18.693480889519234,4.556110832748051,19.487650397950973,19.398087870774768,19.487650397950977,18.473289306317704,19.153338584427858 
 12/18  15:00:00,18.666469722896104,4.536803347906575,19.441032368844657,19.34954512478026,19.44103236884466,18.5133001108839,19.095519382609763 
 12/18  16:00:00,18.503160904275828,4.072997929168461,19.196049760687463,19.09924021568045,19.196049760687463,18.394094349858919,18.860962992012757 
 12/18  17:00:00,18.20629869181712,3.5584379922911659,18.774937896154488,18.671606741312549,18.774937896154488,18.12379497891231,18.49949340542705 
